hour	79th Street & Lake Shore Drive	S. Shore Drive & 79th Street	S. Shore Drive & Cheltenham	S. Shore Drive & 78th Street	S. Shore Drive & 77th Street	S. Shore Drive & 76th Street	S. Shore Drive & 75th Street	S. Shore Drive & 74th Street	S. Shore Drive & 73rd Street	S. Shore Drive & 72nd Street	S. Shore Drive & Coles	S. Shore Drive & 71st Street	S. Shore Drive & 70th Street	S. Shore Drive & 69th Street	S. Shore Drive & 68th Street	67th Street & Oglesby	67th Street & Crandon	67th Street & Paxton	67th Street & Clyde	67th Street & Jeffery	67th Street & Bennett	67th Street & Cregier	67th Street & East End	67th Street & Cornell Drive	Stony Island & Marquette Rd	Stony Island & 65th Street	Stony Island & 64th Street	Stony Island & 63rd Street	Stony Island & 62nd Street	Stony Island & 61st Street	Stony Island & 60th Street	Stony Island & 59th Street	5800 S Stony Island	Stony Island & 57th Drive	S Hyde Park & 56th Street	S Hyde Park & 55th Street	5440 S S Hyde Park	S Hyde Park & 54th Street	S Hyde Park & 53rd Street	5200 S S Hyde Park	E Hyde Park & East End	E Hyde Park & Cornell	Lake Park & E. Hyde Park Blvd	5000 S Lake Park	Lake Park & 49th Street	Lake Park & 48th Street	Lake Park & 47th Street Terminal	1100 S Columbus (Pedestrian Underpass)	Balbo & Columbus	Balbo & Michigan	Michigan & Congress	Michigan & Jackson	Michigan & Monroe	Michigan & Madison	Michigan & Randolph	Michigan & South Water	Michigan & E. Wacker	Wacker (Upper) & Stetson	Wacker (Upper) & Columbus
0	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 1, 1]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 2, 0]	[1, 0, 2, 0]	[0, 0, 1, 1]	[0, 1, 0, 1]	[0, 1, 0, 1]	[0, 2, 0, 0]	[0, 1, 0, 3]	[0, 0, 1, 2]	[1, 0, 1, 1]	[1, 0, 0, 2]	[1, 0, 0, 2]	[1, 0, 0, 2]	[1, 0, 0, 2]	[1, 0, 0, 2]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[2, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 1, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 2]	[1, 0, 1, 2]	[0, 2, 0, 2]	[0, 1, 3, 1]	[0, 2, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[0, 0, 1, 1]	[2, 1, 2, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[4, 1, 0, 2]	[1, 0, 1, 3]	[3, 0, 3, 0]	[0, 1, 0, 1]	[1, 0, 0, 1]	[2, 1, 1, 0]	[3, 0, 0, 0]	[1, 1, 0, 2]	[0, 3, 1, 0]	[3, 3, 3, 0]	[2, 1, 2, 1]	[3, 0, 3, 1]	[0, 2, 1, 1]	[0, 0, 0, 0]	[0, 2, 1, 1]	[1, 1, 1, 4]	[0, 1, 1, 0]	[1, 0, 0, 1]	[1, 0, 2, 2]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 0, 0, 0]	[2, 1, 1, 1]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 2, 0]	[0, 0, 0, 2]	[0, 0, 0, 2]	[1, 0, 0, 1]	[0, 0, 1, 2]	[0, 0, 1, 5]	[0, 0, 1, 2]	[2, 2, 1, 1]	[1, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 0, 1]	[1, 0, 1, 0]	[2, 0, 1, 0]	[0, 0, 0, 3]	[1, 1, 1, 0]	[0, 1, 1, 1]	[3, 1, 0, 0]	[1, 3, 1, 1]	[2, 3, 1, 3]	[1, 2, 0, 3]	[2, 2, 2, 1]	[3, 2, 2, 3]	[0, 1, 1, 3]	[2, 0, 2, 5]	[2, 2, 0, 2]	[4, 2, 4, 2]	[3, 3, 2, 4]	[3, 3, 6, 2]	[1, 2, 3, 3]	[2, 2, 2, 2]	[2, 1, 1, 0]	[3, 0, 3, 1]	[1, 0, 1, 0]	[1, 0, 2, 0]	[1, 0, 1, 1]	[1, 1, 0, 0]	[1, 0, 1, 0]	[1, 1, 2, 2]	[4, 1, 2, 3]	[0, 1, 2, 1]	[1, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[2, 1, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]
6	[4, 2, 1, 4]	[0, 2, 3, 3]	[2, 4, 3, 1]	[3, 4, 5, 7]	[3, 2, 1, 2]	[1, 4, 2, 2]	[0, 0, 3, 0]	[3, 2, 1, 1]	[2, 3, 0, 1]	[2, 3, 1, 3]	[2, 3, 3, 4]	[4, 5, 1, 5]	[3, 4, 0, 7]	[2, 2, 1, 5]	[4, 11, 5, 3]	[4, 1, 4, 6]	[3, 3, 4, 4]	[5, 7, 5, 5]	[3, 2, 7, 5]	[5, 0, 4, 3]	[1, 2, 2, 5]	[8, 7, 4, 6]	[5, 6, 7, 7]	[3, 6, 5, 5]	[5, 2, 7, 4]	[5, 3, 5, 2]	[3, 8, 4, 6]	[5, 10, 6, 7]	[3, 2, 5, 13]	[9, 7, 11, 7]	[11, 4, 10, 8]	[5, 10, 7, 9]	[9, 12, 8, 7]	[5, 10, 8, 5]	[1, 6, 5, 4]	[2, 3, 4, 3]	[2, 2, 3, 3]	[2, 5, 4, 6]	[1, 2, 4, 3]	[0, 6, 4, 2]	[3, 6, 4, 1]	[1, 4, 5, 2]	[1, 4, 4, 3]	[2, 2, 4, 2]	[0, 4, 5, 2]	[1, 3, 2, 7]	[3, 4, 2, 7]	[6, 2, 5, 3]	[3, 1, 4, 3]	[2, 4, 2, 3]	[2, 5, 3, 1]	[1, 4, 3, 2]	[0, 4, 1, 3]	[1, 1, 6, 2]	[0, 5, 1, 2]	[0, 2, 3, 5]	[1, 4, 3, 3]	[1, 1, 1, 7]	[1, 2, 2, 6]
7	[5, 1, 4, 8]	[2, 1, 5, 5]	[3, 0, 4, 7]	[1, 2, 3, 8]	[2, 3, 2, 6]	[2, 3, 2, 6]	[2, 1, 6, 5]	[1, 3, 5, 7]	[1, 2, 8, 4]	[1, 3, 6, 4]	[2, 3, 9, 2]	[3, 6, 4, 4]	[5, 6, 1, 7]	[5, 4, 4, 5]	[7, 4, 3, 4]	[4, 11, 4, 5]	[6, 7, 3, 8]	[4, 10, 7, 7]	[4, 6, 9, 9]	[4, 5, 4, 6]	[3, 8, 5, 15]	[4, 8, 5, 13]	[1, 7, 7, 9]	[6, 2, 7, 12]	[3, 5, 3, 16]	[7, 5, 6, 9]	[3, 5, 6, 7]	[3, 8, 5, 5]	[6, 4, 3, 9]	[4, 4, 3, 9]	[1, 4, 2, 14]	[1, 3, 2, 9]	[1, 2, 5, 7]	[0, 5, 1, 9]	[4, 2, 2, 9]	[2, 5, 4, 6]	[4, 2, 6, 4]	[4, 2, 6, 7]	[4, 4, 5, 6]	[2, 7, 1, 8]	[6, 3, 3, 11]	[2, 5, 2, 12]	[3, 4, 7, 9]	[3, 6, 5, 9]	[5, 8, 5, 13]	[5, 9, 6, 6]	[5, 8, 6, 5]	[6, 7, 12, 4]	[5, 11, 13, 9]	[2, 5, 13, 6]	[6, 3, 5, 12]	[5, 9, 4, 16]	[7, 6, 8, 12]	[5, 6, 10, 14]	[6, 6, 5, 14]	[5, 4, 5, 11]	[5, 5, 6, 10]	[12, 5, 5, 10]	[7, 5, 4, 12]
8	[0, 1, 0, 3]	[0, 2, 3, 4]	[2, 5, 2, 1]	[3, 2, 1, 3]	[2, 3, 1, 3]	[1, 5, 0, 3]	[2, 2, 1, 2]	[2, 3, 3, 2]	[2, 2, 2, 1]	[2, 3, 2, 3]	[1, 3, 1, 3]	[3, 2, 4, 5]	[3, 4, 1, 6]	[3, 5, 0, 3]	[4, 2, 4, 2]	[4, 3, 4, 2]	[4, 3, 3, 2]	[5, 1, 5, 4]	[3, 4, 4, 4]	[5, 5, 6, 5]	[3, 2, 7, 2]	[3, 3, 6, 8]	[2, 3, 1, 12]	[1, 4, 5, 9]	[4, 4, 3, 5]	[2, 3, 7, 4]	[2, 4, 5, 7]	[3, 3, 2, 5]	[2, 2, 3, 4]	[2, 3, 3, 2]	[1, 3, 2, 7]	[1, 2, 7, 11]	[0, 4, 4, 8]	[0, 3, 7, 7]	[2, 3, 4, 5]	[1, 5, 4, 7]	[3, 3, 6, 3]	[3, 1, 8, 7]	[4, 5, 3, 5]	[6, 3, 4, 4]	[7, 3, 4, 6]	[5, 4, 6, 8]	[2, 6, 6, 8]	[4, 5, 3, 9]	[4, 5, 3, 9]	[4, 4, 4, 9]	[7, 5, 3, 11]	[6, 10, 10, 9]	[9, 5, 11, 6]	[3, 10, 9, 5]	[6, 6, 11, 11]	[5, 7, 5, 11]	[5, 8, 7, 8]	[4, 9, 7, 7]	[6, 11, 4, 8]	[8, 14, 7, 9]	[6, 12, 11, 8]	[9, 10, 8, 10]	[8, 10, 10, 8]
9	[3, 2, 3, 2]	[3, 4, 0, 2]	[5, 2, 2, 1]	[3, 1, 2, 4]	[2, 2, 1, 3]	[2, 3, 3, 2]	[5, 2, 2, 4]	[7, 0, 4, 2]	[2, 5, 3, 2]	[6, 2, 5, 1]	[6, 3, 5, 1]	[3, 5, 3, 4]	[4, 5, 1, 6]	[5, 4, 2, 3]	[5, 3, 4, 3]	[5, 4, 4, 4]	[5, 6, 3, 3]	[5, 4, 5, 3]	[5, 4, 4, 2]	[4, 3, 3, 6]	[5, 3, 3, 5]	[3, 4, 4, 5]	[3, 4, 3, 6]	[2, 5, 3, 7]	[5, 4, 3, 6]	[5, 4, 4, 2]	[1, 7, 5, 5]	[2, 6, 3, 5]	[5, 4, 4, 4]	[6, 1, 7, 4]	[5, 2, 4, 8]	[5, 2, 5, 6]	[4, 4, 3, 6]	[4, 3, 3, 7]	[5, 2, 5, 7]	[4, 8, 7, 4]	[5, 5, 5, 6]	[4, 3, 9, 7]	[6, 5, 6, 9]	[6, 9, 7, 5]	[11, 6, 10, 7]	[8, 11, 2, 13]	[15, 4, 4, 8]	[12, 4, 9, 7]	[13, 5, 7, 10]	[14, 7, 10, 7]	[11, 8, 9, 11]	[12, 13, 7, 11]	[10, 17, 9, 9]	[6, 16, 14, 8]	[10, 15, 7, 11]	[9, 10, 14, 9]	[11, 7, 14, 17]	[5, 11, 7, 15]	[4, 9, 12, 12]	[3, 5, 15, 11]	[4, 13, 8, 11]	[7, 12, 12, 13]	[7, 15, 10, 12]
10	[1, 0, 1, 1]	[2, 1, 0, 2]	[1, 2, 6, 2]	[2, 2, 3, 3]	[1, 3, 6, 0]	[1, 6, 3, 2]	[2, 5, 1, 2]	[2, 3, 4, 4]	[5, 2, 3, 8]	[5, 2, 2, 3]	[3, 3, 3, 5]	[2, 3, 5, 4]	[2, 6, 4, 3]	[4, 2, 5, 3]	[4, 4, 3, 3]	[5, 4, 2, 1]	[7, 1, 2, 4]	[4, 3, 3, 5]	[5, 3, 6, 2]	[5, 4, 2, 4]	[4, 6, 4, 3]	[5, 4, 5, 3]	[3, 7, 2, 3]	[1, 5, 5, 4]	[3, 5, 1, 7]	[3, 3, 2, 7]	[1, 8, 1, 7]	[5, 2, 8, 3]	[4, 4, 7, 7]	[6, 4, 2, 7]	[6, 1, 6, 6]	[4, 3, 5, 8]	[6, 2, 6, 6]	[7, 3, 3, 5]	[3, 5, 5, 7]	[4, 8, 5, 6]	[7, 7, 6, 6]	[9, 6, 5, 9]	[10, 8, 9, 5]	[9, 9, 7, 5]	[10, 11, 9, 4]	[8, 11, 10, 5]	[16, 11, 3, 11]	[20, 6, 7, 3]	[21, 5, 4, 4]	[19, 10, 2, 5]	[19, 10, 6, 5]	[15, 13, 10, 6]	[9, 16, 13, 2]	[15, 15, 6, 5]	[10, 17, 9, 6]	[6, 24, 5, 6]	[10, 19, 9, 4]	[11, 21, 8, 3]	[15, 15, 4, 6]	[12, 12, 11, 4]	[7, 16, 8, 5]	[9, 10, 8, 12]	[6, 14, 5, 12]
