hour	79th Street & Lake Shore Drive	S. Shore Drive & 79th Street	S. Shore Drive & Cheltenham	S. Shore Drive & 78th Street	S. Shore Drive & 77th Street	S. Shore Drive & 76th Street	S. Shore Drive & 75th Street	S. Shore Drive & 74th Street	S. Shore Drive & 73rd Street	S. Shore Drive & 72nd Street	S. Shore Drive & Coles	S. Shore Drive & 71st Street	S. Shore Drive & 70th Street	S. Shore Drive & 69th Street	S. Shore Drive & 68th Street	67th Street & Oglesby	67th Street & Crandon	67th Street & Paxton	67th Street & Clyde	67th Street & Jeffery	67th Street & Bennett	67th Street & Cregier	67th Street & East End	67th Street & Cornell Drive	Stony Island & Marquette Rd	Stony Island & 65th Street	Stony Island & 64th Street	Stony Island & 63rd Street	Stony Island & 62nd Street	Stony Island & 61st Street	Stony Island & 60th Street	Stony Island & 59th Street	5800 S Stony Island	Stony Island & 57th Drive	S Hyde Park & 56th Street	S Hyde Park & 55th Street	5440 S S Hyde Park	S Hyde Park & 54th Street	S Hyde Park & 53rd Street	5200 S S Hyde Park	E Hyde Park & East End	E Hyde Park & Cornell	Lake Park & E. Hyde Park Blvd	5000 S Lake Park	Lake Park & 49th Street	Lake Park & 48th Street	Lake Park & 47th Street Terminal	1100 S Columbus (Pedestrian Underpass)	Balbo & Columbus	Balbo & Michigan	Michigan & Congress	Michigan & Jackson	Michigan & Monroe	Michigan & Madison	Michigan & Randolph	Michigan & South Water	Michigan & E. Wacker	Wacker (Upper) & Stetson	Wacker (Upper) & Columbus
11	[2, 1, 1, 2]	[2, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[1, 0, 1, 4]	[1, 0, 2, 3]	[2, 1, 1, 0]	[2, 2, 0, 0]	[3, 1, 1, 1]	[3, 0, 3, 2]	[2, 1, 2, 2]	[1, 2, 1, 2]	[0, 2, 2, 4]	[0, 1, 2, 4]	[0, 1, 3, 8]	[0, 2, 2, 5]	[1, 1, 3, 5]	[1, 2, 4, 1]	[0, 3, 3, 4]	[2, 2, 1, 8]	[1, 3, 4, 5]	[0, 3, 7, 4]	[1, 3, 8, 3]	[1, 0, 4, 9]	[4, 3, 2, 10]	[4, 3, 4, 8]	[3, 6, 6, 3]	[7, 3, 3, 6]	[8, 2, 3, 9]	[5, 5, 4, 4]	[4, 7, 2, 7]	[4, 6, 6, 7]	[5, 3, 6, 7]	[2, 3, 7, 5]	[4, 5, 4, 8]	[4, 5, 10, 8]	[4, 4, 8, 9]	[3, 4, 10, 6]	[6, 5, 5, 10]	[7, 4, 10, 6]	[10, 5, 8, 10]	[10, 9, 9, 4]	[14, 7, 6, 8]	[12, 8, 10, 7]	[12, 11, 8, 10]	[15, 14, 7, 14]	[20, 8, 13, 14]	[16, 16, 9, 8]	[18, 15, 11, 9]	[21, 14, 12, 12]	[14, 16, 11, 15]	[9, 18, 13, 9]	[15, 14, 11, 9]	[15, 16, 8, 11]	[19, 10, 9, 10]	[15, 17, 10, 13]	[13, 23, 11, 10]	[24, 14, 8, 7]	[23, 16, 7, 9]
12	[0, 1, 1, 1]	[0, 2, 0, 1]	[1, 2, 0, 2]	[1, 2, 1, 2]	[3, 0, 3, 0]	[3, 0, 3, 3]	[2, 3, 2, 2]	[3, 3, 2, 4]	[4, 2, 3, 4]	[5, 1, 1, 5]	[3, 3, 2, 5]	[2, 4, 1, 12]	[3, 5, 3, 8]	[4, 5, 8, 3]	[4, 6, 3, 8]	[4, 2, 5, 6]	[4, 3, 7, 3]	[3, 5, 8, 1]	[2, 5, 6, 5]	[4, 4, 2, 5]	[2, 4, 3, 9]	[3, 4, 2, 5]	[4, 3, 4, 6]	[1, 5, 4, 8]	[5, 3, 3, 7]	[3, 6, 1, 12]	[6, 2, 5, 3]	[3, 5, 5, 3]	[4, 8, 5, 4]	[5, 3, 7, 6]	[4, 5, 5, 6]	[3, 8, 3, 7]	[6, 11, 2, 6]	[8, 8, 6, 6]	[3, 9, 7, 14]	[11, 8, 8, 13]	[10, 9, 7, 13]	[12, 9, 6, 13]	[12, 7, 13, 10]	[13, 9, 16, 7]	[12, 15, 8, 9]	[13, 12, 18, 7]	[14, 20, 7, 12]	[19, 12, 9, 8]	[21, 15, 11, 11]	[19, 14, 10, 15]	[15, 14, 5, 12]	[19, 12, 11, 12]	[19, 8, 10, 14]	[18, 6, 13, 12]	[11, 14, 13, 20]	[10, 17, 17, 15]	[18, 12, 16, 14]	[18, 18, 9, 10]	[12, 27, 11, 11]	[17, 14, 15, 15]	[12, 19, 13, 14]	[10, 21, 11, 7]	[11, 23, 6, 11]
13	[1, 0, 3, 2]	[2, 1, 3, 1]	[2, 1, 2, 2]	[2, 0, 2, 3]	[2, 0, 3, 1]	[4, 0, 2, 1]	[2, 3, 1, 7]	[2, 4, 2, 4]	[4, 3, 2, 1]	[2, 5, 3, 2]	[5, 1, 5, 3]	[5, 2, 4, 5]	[5, 3, 3, 9]	[6, 3, 4, 3]	[5, 6, 5, 4]	[4, 8, 3, 8]	[8, 5, 5, 6]	[5, 7, 4, 8]	[5, 4, 8, 5]	[4, 5, 4, 12]	[6, 4, 3, 10]	[5, 4, 8, 8]	[6, 9, 4, 6]	[5, 4, 6, 6]	[3, 7, 4, 10]	[6, 3, 5, 12]	[3, 10, 7, 6]	[6, 7, 6, 9]	[8, 6, 8, 3]	[8, 5, 10, 7]	[5, 8, 8, 6]	[4, 5, 7, 16]	[4, 2, 10, 12]	[5, 8, 9, 13]	[7, 6, 15, 15]	[13, 11, 10, 15]	[10, 10, 12, 14]	[18, 16, 11, 11]	[14, 13, 15, 16]	[13, 10, 15, 19]	[21, 8, 18, 15]	[24, 18, 8, 20]	[20, 17, 15, 18]	[27, 18, 16, 14]	[28, 15, 13, 11]	[25, 18, 8, 13]	[25, 16, 13, 13]	[20, 18, 15, 11]	[19, 10, 20, 11]	[25, 11, 13, 16]	[14, 23, 16, 11]	[20, 19, 7, 15]	[21, 19, 12, 10]	[16, 14, 11, 13]	[15, 18, 13, 13]	[14, 16, 22, 8]	[19, 16, 13, 19]	[15, 21, 18, 11]	[19, 21, 16, 15]
14	[4, 3, 2, 5]	[5, 1, 3, 4]	[5, 0, 4, 3]	[3, 5, 3, 3]	[4, 2, 4, 2]	[5, 1, 1, 5]	[2, 3, 2, 3]	[5, 3, 3, 6]	[6, 0, 7, 6]	[3, 6, 5, 6]	[5, 5, 6, 5]	[6, 6, 3, 6]	[8, 9, 6, 7]	[10, 5, 3, 8]	[10, 7, 8, 6]	[10, 4, 10, 7]	[11, 13, 10, 15]	[9, 12, 12, 14]	[12, 10, 12, 17]	[8, 13, 14, 9]	[12, 9, 11, 9]	[14, 8, 11, 9]	[13, 8, 6, 13]	[16, 8, 12, 6]	[14, 17, 8, 18]	[19, 11, 16, 15]	[17, 13, 13, 21]	[19, 12, 10, 16]	[16, 21, 11, 16]	[20, 16, 19, 14]	[20, 16, 14, 18]	[22, 22, 12, 21]	[25, 19, 18, 14]	[14, 26, 17, 11]	[26, 24, 15, 19]	[23, 13, 15, 20]	[25, 13, 18, 16]	[22, 14, 16, 18]	[26, 16, 16, 13]	[23, 15, 18, 15]	[28, 20, 14, 16]	[26, 22, 18, 14]	[33, 21, 11, 13]	[33, 23, 15, 10]	[27, 22, 21, 13]	[32, 20, 22, 13]	[36, 16, 19, 22]	[22, 9, 14, 15]	[24, 12, 15, 13]	[15, 18, 14, 13]	[15, 19, 20, 22]	[15, 24, 20, 17]	[19, 26, 19, 16]	[18, 26, 17, 21]	[22, 24, 16, 20]	[21, 26, 19, 18]	[19, 30, 22, 19]	[15, 21, 27, 23]	[18, 28, 22, 26]
15	[5, 2, 2, 2]	[7, 4, 4, 4]	[5, 6, 6, 2]	[4, 5, 5, 6]	[5, 7, 1, 5]	[6, 3, 3, 2]	[12, 4, 5, 1]	[14, 5, 7, 2]	[13, 7, 5, 6]	[14, 6, 4, 10]	[14, 8, 12, 3]	[11, 10, 7, 11]	[15, 11, 8, 5]	[22, 9, 2, 6]	[19, 9, 5, 12]	[14, 11, 8, 7]	[16, 8, 10, 4]	[18, 8, 15, 8]	[15, 10, 7, 11]	[7, 9, 11, 9]	[9, 7, 13, 5]	[15, 11, 13, 11]	[12, 11, 9, 14]	[7, 12, 13, 9]	[10, 11, 5, 15]	[7, 9, 8, 11]	[10, 10, 16, 11]	[12, 8, 14, 10]	[9, 14, 10, 17]	[10, 7, 10, 12]	[7, 8, 12, 15]	[8, 14, 8, 12]	[13, 9, 8, 9]	[8, 11, 12, 11]	[7, 9, 13, 14]	[13, 14, 8, 16]	[15, 14, 12, 10]	[18, 14, 9, 13]	[21, 9, 14, 9]	[21, 18, 12, 13]	[27, 19, 7, 13]	[28, 15, 9, 10]	[27, 20, 13, 16]	[29, 13, 19, 12]	[31, 15, 13, 13]	[33, 14, 18, 19]	[27, 20, 21, 11]	[19, 21, 15, 19]	[17, 22, 15, 16]	[18, 17, 17, 18]	[18, 17, 13, 18]	[13, 24, 13, 10]	[21, 23, 16, 17]	[19, 25, 11, 14]	[20, 19, 17, 11]	[18, 15, 14, 16]	[12, 17, 14, 12]	[4, 18, 19, 13]	[5, 18, 11, 17]
16	[1, 2, 3, 1]	[3, 7, 4, 4]	[4, 6, 6, 7]	[8, 10, 4, 2]	[7, 9, 4, 9]	[11, 5, 6, 0]	[10, 5, 6, 5]	[9, 5, 4, 7]	[6, 7, 9, 10]	[10, 9, 5, 3]	[7, 6, 5, 7]	[6, 4, 2, 5]	[6, 8, 5, 2]	[7, 7, 6, 4]	[13, 3, 4, 7]	[4, 7, 11, 10]	[7, 6, 7, 6]	[9, 10, 6, 3]	[14, 7, 3, 6]	[10, 8, 5, 6]	[6, 12, 6, 7]	[9, 5, 13, 6]	[12, 6, 7, 10]	[8, 5, 9, 10]	[4, 7, 6, 13]	[5, 9, 8, 14]	[3, 9, 6, 15]	[3, 10, 7, 6]	[19, 7, 11, 6]	[11, 9, 6, 9]	[9, 10, 6, 8]	[7, 11, 4, 7]	[10, 10, 6, 10]	[8, 8, 6, 10]	[12, 11, 2, 11]	[12, 9, 10, 9]	[11, 7, 8, 7]	[12, 14, 6, 7]	[8, 12, 8, 4]	[12, 5, 16, 5]	[10, 12, 10, 11]	[8, 13, 6, 14]	[12, 12, 8, 12]	[14, 8, 5, 9]	[10, 11, 5, 11]	[13, 9, 7, 9]	[17, 11, 7, 2]	[10, 13, 5, 4]	[12, 15, 8, 5]	[7, 15, 6, 8]	[8, 12, 9, 9]	[8, 14, 10, 13]	[11, 11, 8, 9]	[8, 13, 13, 8]	[11, 16, 10, 14]	[13, 12, 12, 14]	[12, 13, 19, 15]	[10, 19, 13, 15]	[11, 20, 9, 15]
17	[2, 2, 1, 1]	[3, 4, 1, 2]	[2, 1, 2, 7]	[3, 2, 4, 2]	[6, 2, 4, 2]	[4, 4, 3, 2]	[4, 2, 4, 1]	[4, 3, 3, 6]	[3, 3, 3, 4]	[5, 9, 5, 3]	[7, 4, 1, 2]	[8, 3, 2, 2]	[6, 4, 3, 3]	[8, 4, 3, 4]	[8, 4, 2, 2]	[9, 2, 3, 3]	[7, 3, 2, 3]	[9, 3, 3, 2]	[8, 3, 2, 3]	[6, 6, 2, 8]	[7, 3, 7, 8]	[3, 8, 5, 4]	[5, 6, 4, 5]	[6, 7, 6, 6]	[6, 3, 3, 4]	[4, 4, 2, 5]	[4, 4, 3, 4]	[5, 6, 4, 8]	[4, 4, 7, 7]	[5, 4, 4, 5]	[4, 5, 4, 5]	[5, 6, 3, 7]	[3, 5, 8, 7]	[7, 6, 5, 7]	[6, 11, 2, 4]	[10, 7, 6, 7]	[9, 6, 5, 8]	[9, 5, 9, 7]	[7, 8, 6, 7]	[11, 8, 7, 3]	[10, 4, 12, 2]	[9, 7, 8, 5]	[13, 10, 1, 5]	[13, 8, 3, 4]	[15, 11, 6, 8]	[14, 8, 5, 9]	[11, 7, 4, 8]	[4, 6, 10, 7]	[4, 5, 3, 9]	[8, 3, 5, 8]	[4, 6, 5, 9]	[4, 12, 2, 7]	[12, 11, 6, 3]	[11, 18, 7, 4]	[9, 10, 5, 9]	[11, 12, 10, 9]	[8, 12, 9, 9]	[1, 8, 4, 6]	[3, 7, 9, 4]
18	[0, 0, 0, 3]	[0, 0, 2, 1]	[0, 0, 4, 0]	[1, 1, 0, 3]	[2, 2, 1, 3]	[0, 2, 1, 1]	[1, 2, 2, 2]	[2, 2, 1, 4]	[3, 2, 2, 1]	[2, 0, 3, 1]	[2, 4, 0, 2]	[2, 3, 0, 1]	[1, 4, 1, 0]	[4, 2, 2, 2]	[2, 7, 2, 0]	[6, 4, 2, 0]	[7, 2, 0, 2]	[6, 1, 1, 4]	[3, 3, 6, 2]	[7, 4, 2, 2]	[6, 4, 3, 3]	[6, 8, 3, 3]	[6, 7, 4, 4]	[6, 6, 4, 4]	[2, 6, 5, 1]	[1, 6, 4, 3]	[5, 4, 2, 3]	[5, 6, 5, 3]	[5, 3, 3, 3]	[1, 5, 0, 6]	[0, 5, 5, 3]	[3, 2, 2, 3]	[6, 3, 5, 1]	[6, 2, 4, 2]	[6, 6, 1, 1]	[4, 5, 5, 3]	[9, 4, 2, 2]	[6, 5, 1, 3]	[4, 6, 1, 2]	[5, 4, 3, 4]	[7, 3, 4, 2]	[5, 3, 2, 1]	[7, 6, 3, 5]	[4, 4, 5, 2]	[6, 4, 4, 2]	[4, 4, 7, 2]	[6, 6, 4, 1]	[5, 6, 7, 9]	[10, 5, 4, 9]	[13, 6, 3, 12]	[7, 9, 10, 13]	[13, 12, 11, 16]	[10, 18, 8, 12]	[8, 15, 12, 8]	[21, 15, 8, 13]	[13, 14, 6, 12]	[9, 14, 10, 11]	[14, 11, 14, 13]	[10, 15, 9, 14]
19	[1, 1, 0, 1]	[1, 0, 2, 0]	[1, 1, 4, 1]	[2, 0, 2, 3]	[0, 2, 1, 1]	[1, 1, 3, 2]	[4, 2, 2, 1]	[2, 1, 4, 0]	[0, 5, 3, 2]	[2, 0, 3, 1]	[3, 3, 6, 2]	[2, 2, 5, 1]	[1, 4, 4, 0]	[1, 3, 2, 3]	[2, 6, 7, 2]	[3, 4, 4, 1]	[4, 3, 5, 1]	[2, 4, 4, 4]	[4, 5, 2, 4]	[3, 5, 4, 2]	[5, 2, 5, 3]	[4, 3, 4, 2]	[5, 1, 2, 5]	[1, 4, 5, 2]	[6, 4, 3, 6]	[5, 5, 5, 4]	[2, 6, 3, 5]	[6, 5, 3, 5]	[3, 6, 4, 4]	[2, 4, 5, 3]	[6, 3, 4, 3]	[6, 1, 2, 6]	[7, 1, 2, 6]	[4, 3, 3, 4]	[2, 2, 4, 5]	[2, 4, 1, 5]	[4, 3, 2, 3]	[5, 1, 2, 4]	[3, 3, 3, 2]	[3, 2, 4, 2]	[2, 3, 3, 3]	[2, 2, 2, 7]	[2, 2, 6, 3]	[4, 3, 3, 4]	[3, 5, 4, 4]	[5, 4, 4, 7]	[4, 5, 4, 5]	[3, 4, 6, 4]	[3, 3, 3, 4]	[6, 4, 4, 2]	[4, 7, 5, 4]	[5, 6, 4, 5]	[7, 9, 8, 9]	[5, 8, 8, 10]	[7, 7, 8, 5]	[4, 7, 5, 10]	[5, 4, 8, 8]	[3, 8, 6, 4]	[3, 6, 7, 4]
20	[2, 1, 2, 0]	[1, 1, 0, 1]	[1, 2, 2, 0]	[2, 0, 0, 3]	[2, 1, 1, 3]	[2, 0, 1, 0]	[3, 2, 0, 1]	[2, 0, 2, 1]	[3, 1, 0, 1]	[2, 2, 0, 2]	[1, 1, 2, 1]	[2, 2, 2, 0]	[2, 2, 0, 0]	[2, 0, 1, 3]	[3, 0, 2, 0]	[1, 1, 1, 3]	[2, 1, 3, 1]	[2, 1, 2, 1]	[3, 2, 0, 1]	[0, 2, 1, 1]	[1, 3, 1, 1]	[0, 3, 1, 3]	[0, 1, 0, 2]	[1, 2, 1, 1]	[1, 3, 0, 1]	[1, 1, 1, 3]	[2, 2, 1, 2]	[1, 3, 1, 3]	[3, 1, 1, 3]	[1, 3, 0, 2]	[2, 1, 0, 2]	[3, 0, 0, 1]	[2, 1, 1, 1]	[4, 0, 0, 2]	[2, 1, 0, 2]	[1, 2, 2, 2]	[2, 0, 3, 1]	[2, 0, 2, 2]	[2, 1, 1, 3]	[2, 2, 1, 1]	[4, 1, 2, 1]	[3, 1, 1, 1]	[2, 3, 1, 1]	[4, 3, 1, 2]	[2, 5, 2, 1]	[3, 2, 1, 2]	[4, 0, 4, 1]	[4, 4, 3, 4]	[4, 4, 2, 3]	[5, 5, 1, 3]	[3, 2, 4, 5]	[2, 2, 5, 1]	[1, 2, 1, 7]	[2, 5, 2, 5]	[3, 5, 5, 4]	[4, 4, 4, 3]	[1, 5, 6, 1]	[3, 6, 1, 2]	[2, 7, 2, 1]
21	[1, 0, 0, 0]	[3, 0, 1, 0]	[1, 1, 0, 0]	[3, 0, 0, 3]	[1, 2, 1, 1]	[0, 2, 0, 1]	[0, 1, 0, 1]	[3, 3, 1, 1]	[1, 1, 4, 3]	[6, 3, 2, 3]	[1, 1, 2, 2]	[1, 2, 0, 3]	[1, 1, 2, 1]	[1, 2, 3, 1]	[2, 0, 2, 0]	[3, 0, 1, 3]	[3, 2, 0, 1]	[2, 3, 0, 1]	[2, 1, 1, 3]	[1, 1, 1, 2]	[0, 2, 2, 1]	[0, 3, 2, 2]	[2, 0, 1, 4]	[1, 1, 1, 2]	[1, 1, 2, 1]	[1, 1, 0, 2]	[2, 1, 2, 0]	[4, 0, 0, 1]	[3, 1, 0, 1]	[1, 1, 0, 1]	[1, 0, 1, 1]	[1, 1, 2, 2]	[1, 0, 1, 1]	[1, 0, 1, 2]	[1, 0, 0, 1]	[1, 0, 1, 1]	[1, 0, 2, 1]	[1, 2, 0, 2]	[2, 0, 0, 1]	[2, 2, 1, 2]	[1, 2, 0, 3]	[2, 2, 4, 1]	[2, 1, 2, 2]	[4, 3, 2, 0]	[3, 1, 3, 0]	[3, 3, 2, 1]	[5, 1, 3, 1]	[4, 2, 5, 3]	[4, 3, 1, 2]	[2, 1, 3, 0]	[3, 2, 0, 3]	[5, 3, 3, 0]	[5, 3, 1, 2]	[2, 2, 4, 2]	[4, 1, 4, 2]	[2, 2, 1, 1]	[1, 1, 1, 3]	[1, 1, 1, 1]	[2, 2, 1, 2]
22	[1, 1, 1, 0]	[3, 1, 4, 4]	[9, 6, 4, 2]	[1, 2, 2, 2]	[2, 4, 3, 4]	[7, 5, 2, 6]	[0, 3, 5, 3]	[9, 6, 4, 1]	[3, 3, 7, 2]	[4, 3, 2, 6]	[5, 6, 3, 2]	[4, 1, 0, 5]	[4, 1, 2, 5]	[2, 2, 1, 1]	[4, 6, 6, 4]	[3, 1, 0, 1]	[1, 3, 1, 2]	[1, 1, 3, 1]	[4, 0, 2, 3]	[6, 1, 4, 2]	[1, 2, 3, 4]	[5, 5, 5, 7]	[4, 5, 4, 6]	[3, 3, 2, 4]	[6, 1, 2, 1]	[5, 5, 1, 3]	[2, 2, 1, 3]	[2, 3, 1, 6]	[4, 4, 2, 4]	[2, 8, 5, 6]	[4, 2, 3, 1]	[2, 4, 3, 2]	[8, 2, 2, 1]	[6, 2, 5, 2]	[3, 4, 5, 2]	[1, 7, 2, 1]	[1, 7, 3, 2]	[2, 4, 1, 2]	[4, 3, 1, 3]	[4, 4, 2, 2]	[5, 4, 3, 3]	[4, 3, 2, 3]	[6, 3, 2, 2]	[9, 4, 5, 6]	[6, 2, 1, 2]	[13, 5, 3, 1]	[7, 2, 2, 2]	[4, 2, 1, 3]	[3, 3, 1, 1]	[6, 3, 1, 2]	[1, 4, 2, 3]	[2, 4, 3, 1]	[5, 2, 1, 0]	[1, 4, 0, 2]	[1, 3, 2, 1]	[1, 1, 2, 5]	[0, 2, 1, 0]	[1, 0, 3, 1]	[2, 0, 2, 2]
23	[3, 3, 3, 0]	[2, 0, 2, 2]	[2, 0, 3, 0]	[1, 3, 2, 0]	[1, 2, 1, 1]	[2, 1, 1, 0]	[1, 2, 2, 1]	[2, 1, 2, 0]	[2, 1, 0, 2]	[5, 1, 0, 0]	[4, 0, 1, 0]	[2, 3, 0, 0]	[0, 2, 0, 1]	[2, 2, 0, 0]	[3, 3, 0, 0]	[3, 2, 1, 0]	[0, 2, 2, 1]	[1, 0, 3, 2]	[1, 2, 1, 2]	[0, 1, 1, 0]	[0, 1, 4, 2]	[1, 0, 4, 3]	[1, 1, 4, 1]	[0, 5, 0, 2]	[1, 1, 2, 3]	[3, 2, 2, 2]	[2, 6, 3, 1]	[2, 6, 6, 2]	[1, 2, 2, 4]	[1, 1, 0, 2]	[5, 3, 6, 2]	[4, 3, 6, 4]	[0, 3, 3, 2]	[1, 4, 2, 3]	[1, 2, 5, 2]	[5, 3, 6, 5]	[6, 3, 7, 5]	[2, 5, 4, 5]	[6, 4, 3, 3]	[3, 6, 5, 5]	[3, 2, 1, 2]	[5, 5, 0, 1]	[5, 7, 2, 6]	[5, 7, 3, 2]	[1, 7, 3, 0]	[5, 3, 1, 0]	[6, 7, 2, 1]	[3, 1, 0, 0]	[3, 7, 1, 3]	[4, 0, 0, 2]	[5, 2, 2, 1]	[2, 1, 1, 1]	[1, 3, 2, 1]	[2, 4, 2, 3]	[1, 2, 1, 2]	[2, 3, 1, 1]	[0, 3, 1, 0]	[0, 1, 1, 1]	[1, 0, 1, 2]
